time[sec]	velocity[sec]	angle[rad]	x[m]	y[m]
1.770000	6.021071	-0.305101	3.499046	5.589296
1.800000	6.101462	-0.303309	3.551949	5.768019
1.830000	6.183903	-0.299795	3.599815	5.956121
1.860000	6.266343	-0.296150	3.647682	6.144226
1.890000	6.350540	-0.291374	3.691528	6.339178
1.920000	6.434737	-0.286513	3.735374	6.534130
1.950000	6.518934	-0.281731	3.779221	6.729082
1.980000	6.605707	-0.275673	3.817787	6.932842
2.010000	6.692480	-0.269704	3.856354	7.136600
2.040000	6.779253	-0.263951	3.894928	7.340361
2.070000	6.869124	-0.257026	3.927826	7.553429
2.100000	6.958995	-0.250335	3.960732	7.766497
2.130000	7.048866	-0.243976	3.993629	7.979567
2.160000	7.142104	-0.236599	4.020782	8.202024
2.190000	7.235342	-0.229624	4.047928	8.424482
2.220000	7.328579	-0.223060	4.075081	8.646938
2.250000	7.425236	-0.215621	4.096451	8.878822
2.280000	7.521893	-0.208672	4.117821	9.110706
2.310000	7.621088	-0.201271	4.134842	9.349686
2.340000	7.720284	-0.194459	4.151863	9.588665
2.370000	7.819479	-0.188126	4.168884	9.827644
2.400000	7.921739	-0.181169	4.180389	10.075642
2.430000	8.023999	-0.174823	4.191895	10.323643
2.460000	8.126259	-0.168950	4.203407	10.571640
2.490000	8.228519	-0.163511	4.214912	10.819641
2.520000	8.334614	-0.157147	4.218742	11.080223
2.550000	8.440707	-0.149703	4.222565	11.340805
2.580000	8.546801	-0.142937	4.226395	11.601391
2.610000	8.629122	-0.141916	4.225388	11.806034
2.640000	8.711443	-0.133203	4.224388	12.010677
2.670000	8.793764	-0.125472	4.223381	12.215317
2.700000	8.899520	-0.113865	4.217690	12.481686
2.730000	9.005276	-0.110667	4.211998	12.748055
2.760000	9.114495	-0.106794	4.202156	13.026936
2.790000	9.223715	-0.103957	4.192314	13.305817
2.820000	9.332934	-0.101328	4.182472	13.584698
2.850000	9.444017	-0.098130	4.166969	13.874489
2.880000	9.555100	-0.095392	4.151466	14.164280
2.910000	9.666755	-0.092404	4.131699	14.461124
2.940000	9.778409	-0.089467	4.111938	14.757969
